[2024-04-01 19:05:51     INFO] {'item': 'get', 'data': 'http://192.168.0.100/factory_camera.asp', 'timeout': '3', 'skip_fail': 'True'}
[2024-04-01 19:05:55     INFO] Message: Timed out waiting for page to load.

[2024-04-01 19:05:55     INFO] {'item': 'autoit_win_activate', 'title': 'Windows 安全性'}
[2024-04-01 19:05:55     INFO] {'item': 'autoit_send', 'send_text': 'admin'}
[2024-04-01 19:05:55     INFO] {'item': 'sleep', 'data': '0.3'}
[2024-04-01 19:05:55     INFO] {'item': 'autoit_send', 'send_text': '{TAB}'}
[2024-04-01 19:05:56     INFO] {'item': 'autoit_send', 'send_text': 'admin'}
[2024-04-01 19:05:56     INFO] {'item': 'sleep', 'data': '0.3'}
[2024-04-01 19:05:56     INFO] {'item': 'autoit_send', 'send_text': '{ENTER}'}
[2024-04-01 19:05:56     INFO] Result : PASS
[2024-04-01 19:06:10     INFO] HTTPConnectionPool(host='localhost', port=64841): Max retries exceeded with url: /session/67706d57-c5cc-49ff-b382-68e231d14d22/window (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018657897EF0>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
[2024-04-01 19:06:10     INFO] Finish.
